"","SYMBOL","GENENAME"
"1011","FLJ12825","uncharacterized LOC440101"
"1012","FLJ16171",NA
"1013","FLJ20518",NA
"1014","FLJ21408",NA
"1015","FLJ22447","uncharacterized LOC400221"
"1016","FLJ27354",NA
"1017","FLJ31662",NA
"1018","FLJ37505",NA
"1019","FLJ42351","uncharacterized LOC400999"
"1020","FLJ42393","uncharacterized LOC401105"
"1021","FLJ42875",NA
"1022","FLJ42969","uncharacterized LOC441374"
"1023","FLJ44313",NA
"1024","FLJ44511",NA
"1025","FLJ44635","TPT1-like protein"
"1026","FLJ45079",NA
"1027","FLJ45513","uncharacterized LOC729220"
"1028","FLJ46300",NA
"1029","FLRT1","fibronectin leucine rich transmembrane protein 1"
"1030","FLRT3","fibronectin leucine rich transmembrane protein 3"
"1031","FMOD","fibromodulin"
"1032","FMR1-AS1","FMR1 antisense RNA 1"
"1033","FNBP1","formin binding protein 1"
"1034","FNDC3A","fibronectin type III domain containing 3A"
"1035","FNDC3B","fibronectin type III domain containing 3B"
"1036","FNDC4","fibronectin type III domain containing 4"
"1037","FNDC5","fibronectin type III domain containing 5"
"1038","FNDC7","fibronectin type III domain containing 7"
"1039","FOLH1B","folate hydrolase 1B"
"1040","FOLR1","folate receptor alpha"
"1041","FOPNL","FGFR1OP N-terminal like"
"1042","FOSL1","FOS like 1, AP-1 transcription factor subunit"
"1043","FOSL2","FOS like 2, AP-1 transcription factor subunit"
"1044","FOXF1","forkhead box F1"
"1045","FOXH1","forkhead box H1"
"1046","FOXI1","forkhead box I1"
"1047","FOXL1","forkhead box L1"
"1048","FOXP2","forkhead box P2"
"1049","FOXP3","forkhead box P3"
"1050","FOXR2","forkhead box R2"
"1051","FPGT-TNNI3K","FPGT-TNNI3K readthrough"
"1052","FPR1","formyl peptide receptor 1"
"1053","FPR2","formyl peptide receptor 2"
"1054","FPR3","formyl peptide receptor 3"
"1055","FRA10AC1","FRA10A associated CGG repeat 1"
"1056","FRMD7","FERM domain containing 7"
"1057","FSHB","follicle stimulating hormone subunit beta"
"1058","FTH1P3","ferritin heavy chain 1 pseudogene 3"
"1059","FTLP10","ferritin light chain pseudogene 10"
"1060","FURIN","furin, paired basic amino acid cleaving enzyme"
"1061","FUT1","fucosyltransferase 1 (H blood group)"
"1062","FUT9","fucosyltransferase 9"
"1063","FXR2","FMR1 autosomal homolog 2"
"1064","G0S2","G0/G1 switch 2"
"1065","G6PC","glucose-6-phosphatase catalytic subunit"
"1066","G6PC2","glucose-6-phosphatase catalytic subunit 2"
"1067","GAB3","GRB2 associated binding protein 3"
"1068","GABPB1-AS1","GABPB1 antisense RNA 1"
"1069","GABRA5","gamma-aminobutyric acid type A receptor alpha5 subunit"
"1070","GABRA6","gamma-aminobutyric acid type A receptor alpha6 subunit"
"1071","GABRB1","gamma-aminobutyric acid type A receptor beta1 subunit"
"1072","GABRB2","gamma-aminobutyric acid type A receptor beta2 subunit"
"1073","GABRQ","gamma-aminobutyric acid type A receptor theta subunit"
"1074","GAL3ST2","galactose-3-O-sulfotransferase 2"
"1075","GAL3ST3","galactose-3-O-sulfotransferase 3"
"1076","GAL3ST4","galactose-3-O-sulfotransferase 4"
"1077","GALM","galactose mutarotase"
"1078","GALNT10","polypeptide N-acetylgalactosaminyltransferase 10"
"1079","GALNT13","polypeptide N-acetylgalactosaminyltransferase 13"
"1080","GALP","galanin like peptide"
"1081","GAPDHS","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
"1082","GAS1","growth arrest specific 1"
"1083","GAS8","growth arrest specific 8"
"1084","GBAS",NA
"1085","GBP6","guanylate binding protein family member 6"
"1086","GCLC","glutamate-cysteine ligase catalytic subunit"
"1087","GCM1","glial cells missing transcription factor 1"
"1088","GCNT2","glucosaminyl (N-acetyl) transferase 2 (I blood group)"
"1089","GCNT4","glucosaminyl (N-acetyl) transferase 4"
"1090","GCNT7","glucosaminyl (N-acetyl) transferase family member 7"
"1091","GCOM1","GRINL1A complex locus 1"
"1092","GCSAML","germinal center associated signaling and motility like"
"1093","GCSH","glycine cleavage system protein H"
"1094","GDF2","growth differentiation factor 2"
"1095","GDNF","glial cell derived neurotrophic factor"
"1096","GEMIN4","gem nuclear organelle associated protein 4"
"1097","GEMIN8","gem nuclear organelle associated protein 8"
"1098","GEMIN8P4","gem nuclear organelle associated protein 8 pseudogene 4"
"1099","GFI1","growth factor independent 1 transcriptional repressor"
"1100","GFOD1","glucose-fructose oxidoreductase domain containing 1"
"1101","GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"1102","GGACT","gamma-glutamylamine cyclotransferase"
"1103","GGT1","gamma-glutamyltransferase 1"
"1104","GGT5","gamma-glutamyltransferase 5"
"1105","GHR","growth hormone receptor"
"1106","GHSR","growth hormone secretagogue receptor"
"1107","GIGYF1","GRB10 interacting GYF protein 1"
"1108","GIMAP2","GTPase, IMAP family member 2"
"1109","GINM1","glycoprotein integral membrane 1"
"1110","GIT1","GIT ArfGAP 1"
"1111","GJA1","gap junction protein alpha 1"
"1112","GJA10","gap junction protein alpha 10"
"1113","GJA4","gap junction protein alpha 4"
"1114","GJA8","gap junction protein alpha 8"
"1115","GJC1","gap junction protein gamma 1"
"1116","GK2","glycerol kinase 2"
"1117","GKN2","gastrokine 2"
"1118","GLE1","GLE1 RNA export mediator"
"1119","GLIPR1L1","GLIPR1 like 1"
"1120","GLIPR2","GLI pathogenesis related 2"
"1121","GLIS1","GLIS family zinc finger 1"
"1122","GLP2R","glucagon like peptide 2 receptor"
"1123","GLRA2","glycine receptor alpha 2"
"1124","GLRA3","glycine receptor alpha 3"
"1125","GLRX2","glutaredoxin 2"
"1126","GLUL","glutamate-ammonia ligase"
"1127","GLYAT","glycine-N-acyltransferase"
"1128","GLYR1","glyoxylate reductase 1 homolog"
"1129","GMCL1P1",NA
"1130","GMEB1","glucocorticoid modulatory element binding protein 1"
"1131","GMFG","glia maturation factor gamma"
"1132","GML","glycosylphosphatidylinositol anchored molecule like"
"1133","GMPS","guanine monophosphate synthase"
"1134","GNA11","G protein subunit alpha 11"
"1135","GNAT1","G protein subunit alpha transducin 1"
"1136","GNB4","G protein subunit beta 4"
"1137","GNG12-AS1","GNG12, DIRAS3 and WLS antisense RNA 1"
"1138","GNGT2","G protein subunit gamma transducin 2"
"1139","GNRH1","gonadotropin releasing hormone 1"
"1140","GP2","glycoprotein 2"
"1141","GP6","glycoprotein VI platelet"
"1142","GPATCH4","G-patch domain containing 4"
"1143","GPC6-AS2","GPC6 antisense RNA 2"
"1144","GPD1L","glycerol-3-phosphate dehydrogenase 1 like"
"1145","GPR111",NA
"1146","GPR113",NA
"1147","GPR132","G protein-coupled receptor 132"
"1148","GPR149","G protein-coupled receptor 149"
"1149","GPR15","G protein-coupled receptor 15"
"1150","GPR152","G protein-coupled receptor 152"
"1151","GPR156","G protein-coupled receptor 156"
"1152","GPR158","G protein-coupled receptor 158"
"1153","GPR160","G protein-coupled receptor 160"
"1154","GPR17","G protein-coupled receptor 17"
"1155","GPR173","G protein-coupled receptor 173"
"1156","GPR18","G protein-coupled receptor 18"
"1157","GPR182","G protein-coupled receptor 182"
"1158","GPR19","G protein-coupled receptor 19"
"1159","GPR32","G protein-coupled receptor 32"
"1160","GPR35","G protein-coupled receptor 35"
"1161","GPR52","G protein-coupled receptor 52"
"1162","GPR55","G protein-coupled receptor 55"
"1163","GPR6","G protein-coupled receptor 6"
"1164","GPR61","G protein-coupled receptor 61"
"1165","GPR65","G protein-coupled receptor 65"
"1166","GPR75","G protein-coupled receptor 75"
"1167","GPR88","G protein-coupled receptor 88"
"1168","GPRC5D","G protein-coupled receptor class C group 5 member D"
"1169","GPS1","G protein pathway suppressor 1"
"1170","GPSM3","G protein signaling modulator 3"
"1171","GPX5","glutathione peroxidase 5"
"1172","GPX8","glutathione peroxidase 8 (putative)"
"1173","GRAMD1C","GRAM domain containing 1C"
"1174","GRAMD4","GRAM domain containing 4"
"1175","GRID2","glutamate ionotropic receptor delta type subunit 2"
"1176","GRID2IP","Grid2 interacting protein"
"1177","GRIK1-AS2","GRIK1 antisense RNA 2"
"1178","GRIN2B","glutamate ionotropic receptor NMDA type subunit 2B"
"1179","GRIN3A","glutamate ionotropic receptor NMDA type subunit 3A"
"1180","GRK7","G protein-coupled receptor kinase 7"
"1181","GRN","granulin precursor"
"1182","GSG1","germ cell associated 1"
"1183","GSKIP","GSK3B interacting protein"
"1184","GSN","gelsolin"
"1185","GSTA1","glutathione S-transferase alpha 1"
"1186","GSTA2","glutathione S-transferase alpha 2"
"1187","GSTA5","glutathione S-transferase alpha 5"
"1188","GSTA7P","glutathione S-transferase alpha 7, pseudogene"
"1189","GSTM1","glutathione S-transferase mu 1"
"1190","GSTO1","glutathione S-transferase omega 1"
"1191","GSTP1","glutathione S-transferase pi 1"
"1192","GTF2A1","general transcription factor IIA subunit 1"
"1193","GTF2H2C","GTF2H2 family member C"
"1194","GTSF1","gametocyte specific factor 1"
"1195","GYG1","glycogenin 1"
"1196","GYLTL1B",NA
"1197","GYPC","glycophorin C (Gerbich blood group)"
"1198","GZMB","granzyme B"
"1199","GZMH","granzyme H"
"1200","GZMM","granzyme M"
"1201","H1FNT",NA
"1202","H3F3C",NA
"1203","HABP2","hyaluronan binding protein 2"
"1204","HADH","hydroxyacyl-CoA dehydrogenase"
"1205","HAPLN1","hyaluronan and proteoglycan link protein 1"
"1206","HAS1","hyaluronan synthase 1"
"1207","HAUS5","HAUS augmin like complex subunit 5"
"1208","HAVCR1P1","hepatitis A virus cellular receptor 1 pseudogene 1"
"1209","HCG11","HLA complex group 11"
"1210","HCG26","HLA complex group 26"
"1211","HCG4","HLA complex group 4"
"1212","HCG4B","HLA complex group 4B"
"1213","HCG9","HLA complex group 9"
"1214","HCN2","hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2"
"1215","HCN3","hyperpolarization activated cyclic nucleotide gated potassium channel 3"
"1216","HDAC9","histone deacetylase 9"
"1217","HEATR1","HEAT repeat containing 1"
"1218","HEATR2",NA
"1219","HEPHL1","hephaestin like 1"
"1220","HERC5","HECT and RLD domain containing E3 ubiquitin protein ligase 5"
"1221","HES1","hes family bHLH transcription factor 1"
"1222","HES4","hes family bHLH transcription factor 4"
"1223","HES6","hes family bHLH transcription factor 6"
"1224","HESX1","HESX homeobox 1"
"1225","HEXB","hexosaminidase subunit beta"
"1226","HFE2",NA
"1227","HHATL","hedgehog acyltransferase like"
"1228","HHEX","hematopoietically expressed homeobox"
"1229","HHIP-AS1","HHIP antisense RNA 1"
"1230","HHIPL2","HHIP like 2"
"1231","HIATL2",NA
"1232","HIF1A-AS2","HIF1A antisense RNA 2"
"1233","HINT2","histidine triad nucleotide binding protein 2"
"1234","HIPK4","homeodomain interacting protein kinase 4"
"1235","HIRA","histone cell cycle regulator"
"1236","HIST1H1T",NA
"1237","HIST1H3E",NA
"1238","HIST1H4F",NA
"1239","HIST1H4G",NA
"1240","HIST1H4I",NA
"1241","HIST1H4J",NA
"1242","HIST1H4L",NA
"1243","HLA-DOA","major histocompatibility complex, class II, DO alpha"
"1244","HLA-DPB1","major histocompatibility complex, class II, DP beta 1"
"1245","HLA-DRB5","major histocompatibility complex, class II, DR beta 5"
"1246","HLF","HLF transcription factor, PAR bZIP family member"
"1247","HLTF-AS1","HLTF antisense RNA 1"
"1248","HMCN1","hemicentin 1"
"1249","HMGA1P7","high mobility group AT-hook 1 pseudogene 7"
"1250","HMGB4","high mobility group box 4"
"1251","HMGCLL1","3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1"
"1252","HMGN5","high mobility group nucleosome binding domain 5"
"1253","HN1",NA
"1254","HN1L",NA
"1255","HNF1B","HNF1 homeobox B"
"1256","HNF4A","hepatocyte nuclear factor 4 alpha"
"1257","HNMT","histamine N-methyltransferase"
"1258","HNRNPA1P33","heterogeneous nuclear ribonucleoprotein A1 pseudogene 33"
"1259","HNRNPA3P1","heterogeneous nuclear ribonucleoprotein A3 pseudogene 1"
"1260","HNRNPKP3","heterogeneous nuclear ribonucleoprotein K pseudogene 3"
"1261","HNRNPL","heterogeneous nuclear ribonucleoprotein L"
"1262","HOOK3","hook microtubule tethering protein 3"
"1263","HORMAD1","HORMA domain containing 1"
"1264","HOXA2","homeobox A2"
"1265","HOXA3","homeobox A3"
"1266","HOXA7","homeobox A7"
"1267","HOXB-AS5",NA
"1268","HOXB2","homeobox B2"
"1269","HOXB3","homeobox B3"
"1270","HOXB5","homeobox B5"
"1271","HOXC4","homeobox C4"
"1272","HPCA","hippocalcin"
"1273","HPCAL1","hippocalcin like 1"
"1274","HPRT1","hypoxanthine phosphoribosyltransferase 1"
"1275","HPS6","HPS6 biogenesis of lysosomal organelles complex 2 subunit 3"
"1276","HPSE2","heparanase 2 (inactive)"
"1277","HR","HR lysine demethylase and nuclear receptor corepressor"
"1278","HRNR","hornerin"
"1279","HS3ST4","heparan sulfate-glucosamine 3-sulfotransferase 4"
"1280","HSBP1L1","heat shock factor binding protein 1 like 1"
"1281","HSD17B11","hydroxysteroid 17-beta dehydrogenase 11"
"1282","HSD17B6","hydroxysteroid 17-beta dehydrogenase 6"
"1283","HSD3B1","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
"1284","HSFY1P1","HSFY1 pseudogene 1"
"1285","HSH2D","hematopoietic SH2 domain containing"
"1286","HSPB3","heat shock protein family B (small) member 3"
"1287","HTATSF1P2","HIV-1 Tat specific factor 1 pseudogene 2"
"1288","HTR1A","5-hydroxytryptamine receptor 1A"
"1289","HTR1D","5-hydroxytryptamine receptor 1D"
"1290","HTR2C","5-hydroxytryptamine receptor 2C"
"1291","HTR3B","5-hydroxytryptamine receptor 3B"
"1292","HTR5A","5-hydroxytryptamine receptor 5A"
"1293","HTR7","5-hydroxytryptamine receptor 7"
"1294","HYALP1",NA
"1295","HYI","hydroxypyruvate isomerase (putative)"
"1296","HYPK","huntingtin interacting protein K"
"1297","IARS",NA
"1298","ICAM3","intercellular adhesion molecule 3"
"1299","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)"
"1300","ICMT","isoprenylcysteine carboxyl methyltransferase"
"1301","ICOS","inducible T cell costimulator"
"1302","ID4","inhibitor of DNA binding 4, HLH protein"
"1303","IDH3A","isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha"
"1304","IDNK","IDNK gluconokinase"
"1305","IDO1","indoleamine 2,3-dioxygenase 1"
"1306","IDO2","indoleamine 2,3-dioxygenase 2"
"1307","IFI16","interferon gamma inducible protein 16"
"1308","IFI44","interferon induced protein 44"
"1309","IFI44L","interferon induced protein 44 like"
"1310","IFIT1","interferon induced protein with tetratricopeptide repeats 1"
"1311","IFIT5","interferon induced protein with tetratricopeptide repeats 5"
"1312","IFLTD1",NA
"1313","IFNA5","interferon alpha 5"
"1314","IFNE","interferon epsilon"
"1315","IFNG","interferon gamma"
"1316","IFNK","interferon kappa"
"1317","IFRD2","interferon related developmental regulator 2"
"1318","IFT52","intraflagellar transport 52"
"1319","IFT80","intraflagellar transport 80"
"1320","IGBP1P1","immunoglobulin (CD79A) binding protein 1 pseudogene 1"
"1321","IGF2BP2","insulin like growth factor 2 mRNA binding protein 2"
"1322","IGFBP3","insulin like growth factor binding protein 3"
"1323","IGFBP7","insulin like growth factor binding protein 7"
"1324","IGFL1","IGF like family member 1"
"1325","IGJ",NA
"1326","IGSF1","immunoglobulin superfamily member 1"
"1327","IGSF11-AS1","IGSF11 antisense RNA 1"
"1328","IGSF6","immunoglobulin superfamily member 6"
"1329","IKZF2","IKAROS family zinc finger 2"
"1330","IL10RA","interleukin 10 receptor subunit alpha"
"1331","IL12RB2","interleukin 12 receptor subunit beta 2"
"1332","IL17A","interleukin 17A"
"1333","IL17C","interleukin 17C"
"1334","IL17RB","interleukin 17 receptor B"
"1335","IL17RD","interleukin 17 receptor D"
"1336","IL1F10","interleukin 1 family member 10"
"1337","IL2","interleukin 2"
"1338","IL21R-AS1","IL21R antisense RNA 1"
"1339","IL23R","interleukin 23 receptor"
"1340","IL25","interleukin 25"
"1341","IL2RA","interleukin 2 receptor subunit alpha"
"1342","IL31RA","interleukin 31 receptor A"
"1343","IL34","interleukin 34"
"1344","IL36B","interleukin 36 beta"
"1345","IL36G","interleukin 36 gamma"
"1346","IL36RN","interleukin 36 receptor antagonist"
"1347","IL37","interleukin 37"
"1348","IL5RA","interleukin 5 receptor subunit alpha"
"1349","ILDR1","immunoglobulin like domain containing receptor 1"
"1350","ILF3","interleukin enhancer binding factor 3"
"1351","IMPA2","inositol monophosphatase 2"
"1352","IMPG1","interphotoreceptor matrix proteoglycan 1"
"1353","INCA1","inhibitor of CDK, cyclin A1 interacting protein 1"
"1354","INE1","inactivation escape 1"
"1355","INE2","inactivation escape 2"
"1356","INO80C","INO80 complex subunit C"
"1357","INPP5E","inositol polyphosphate-5-phosphatase E"
"1358","INPP5K","inositol polyphosphate-5-phosphatase K"
"1359","INS-IGF2","INS-IGF2 readthrough"
"1360","INSC","INSC spindle orientation adaptor protein"
"1361","INSIG1","insulin induced gene 1"
"1362","INSL6","insulin like 6"
"1363","INSM2","INSM transcriptional repressor 2"
"1364","INTS9","integrator complex subunit 9"
"1365","IPO5","importin 5"
"1366","IQCF1","IQ motif containing F1"
"1367","IQCF3","IQ motif containing F3"
"1368","IQCK","IQ motif containing K"
"1369","IRG1",NA
"1370","IRGC","immunity related GTPase cinema"
"1371","ISL2","ISL LIM homeobox 2"
"1372","ISM1","isthmin 1"
"1373","ISPD",NA
"1374","ISX","intestine specific homeobox"
"1375","ITGA9","integrin subunit alpha 9"
"1376","ITGB3","integrin subunit beta 3"
"1377","ITGB3BP","integrin subunit beta 3 binding protein"
"1378","ITGB7","integrin subunit beta 7"
"1379","ITIH4","inter-alpha-trypsin inhibitor heavy chain 4"
"1380","ITIH6","inter-alpha-trypsin inhibitor heavy chain family member 6"
"1381","ITK","IL2 inducible T cell kinase"
"1382","ITLN2","intelectin 2"
"1383","ITM2B","integral membrane protein 2B"
"1384","ITPK1","inositol-tetrakisphosphate 1-kinase"
"1385","ITPK1-AS1","ITPK1 antisense RNA 1"
"1386","ITPKA","inositol-trisphosphate 3-kinase A"
"1387","ITPRIPL2","ITPRIP like 2"
"1388","JAK2","Janus kinase 2"
"1389","JAK3","Janus kinase 3"
"1390","JAKMIP2-AS1","JAKMIP2 antisense RNA 1"
"1391","JARID2","jumonji and AT-rich interaction domain containing 2"
"1392","JMJD8","jumonji domain containing 8"
"1393","JSRP1","junctional sarcoplasmic reticulum protein 1"
"1394","JTB","jumping translocation breakpoint"
"1395","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
"1396","KALRN","kalirin RhoGEF kinase"
"1397","KANSL1","KAT8 regulatory NSL complex subunit 1"
"1398","KAT2A","lysine acetyltransferase 2A"
"1399","KATNAL1","katanin catalytic subunit A1 like 1"
"1400","KATNAL2","katanin catalytic subunit A1 like 2"
"1401","KATNBL1","katanin regulatory subunit B1 like 1"
"1402","KC6","keratoconus gene 6"
"1403","KCNA6","potassium voltage-gated channel subfamily A member 6"
"1404","KCND2","potassium voltage-gated channel subfamily D member 2"
"1405","KCNE2","potassium voltage-gated channel subfamily E regulatory subunit 2"
"1406","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3"
"1407","KCNG4","potassium voltage-gated channel modifier subfamily G member 4"
"1408","KCNH8","potassium voltage-gated channel subfamily H member 8"
"1409","KCNJ11","potassium inwardly rectifying channel subfamily J member 11"
"1410","KCNJ3","potassium inwardly rectifying channel subfamily J member 3"
"1411","KCNK12","potassium two pore domain channel subfamily K member 12"
"1412","KCNK16","potassium two pore domain channel subfamily K member 16"
"1413","KCNK7","potassium two pore domain channel subfamily K member 7"
"1414","KCNQ1DN","KCNQ1 downstream neighbor"
"1415","KCNQ3","potassium voltage-gated channel subfamily Q member 3"
"1416","KCNQ5-AS1","KCNQ5 antisense RNA 1"
"1417","KCNS1","potassium voltage-gated channel modifier subfamily S member 1"
"1418","KCNV2","potassium voltage-gated channel modifier subfamily V member 2"
"1419","KCTD1","potassium channel tetramerization domain containing 1"
"1420","KCTD16","potassium channel tetramerization domain containing 16"
"1421","KCTD18","potassium channel tetramerization domain containing 18"
"1422","KCTD19","potassium channel tetramerization domain containing 19"
"1423","KCTD3","potassium channel tetramerization domain containing 3"
"1424","KCTD8","potassium channel tetramerization domain containing 8"
"1425","KDELC2",NA
"1426","KDM1A","lysine demethylase 1A"
"1427","KDM4B","lysine demethylase 4B"
"1428","KDM5C","lysine demethylase 5C"
"1429","KHDRBS2","KH RNA binding domain containing, signal transduction associated 2"
"1430","KHSRP","KH-type splicing regulatory protein"
"1431","KIAA0226L",NA
"1432","KIAA0586","KIAA0586"
"1433","KIAA0907",NA
"1434","KIAA1210","KIAA1210"
"1435","KIAA1211",NA
"1436","KIAA1324L","KIAA1324 like"
"1437","KIAA1456",NA
"1438","KIAA1462",NA
"1439","KIAA1522","KIAA1522"
"1440","KIAA1614","KIAA1614"
"1441","KIAA1656","KIAA1656 protein"
"1442","KIAA1751",NA
"1443","KIAA1984",NA
"1444","KIF20A","kinesin family member 20A"
"1445","KIF27","kinesin family member 27"
"1446","KIF2C","kinesin family member 2C"
"1447","KIRREL3-AS2","KIRREL3 antisense RNA 2"
"1448","KISS1","KiSS-1 metastasis suppressor"
"1449","KIT","KIT proto-oncogene, receptor tyrosine kinase"
"1450","KLB","klotho beta"
"1451","KLC3","kinesin light chain 3"
"1452","KLF13","Kruppel like factor 13"
"1453","KLF17","Kruppel like factor 17"
"1454","KLF9","Kruppel like factor 9"
"1455","KLHDC1","kelch domain containing 1"
"1456","KLHL10","kelch like family member 10"
"1457","KLHL11","kelch like family member 11"
"1458","KLHL17","kelch like family member 17"
"1459","KLHL23","kelch like family member 23"
"1460","KLHL24","kelch like family member 24"
"1461","KLHL25","kelch like family member 25"
"1462","KLHL31","kelch like family member 31"
"1463","KLHL33","kelch like family member 33"
"1464","KLHL35","kelch like family member 35"
"1465","KLHL4","kelch like family member 4"
"1466","KLHL41","kelch like family member 41"
"1467","KLK1","kallikrein 1"
"1468","KLK15","kallikrein related peptidase 15"
"1469","KLK2","kallikrein related peptidase 2"
"1470","KLK4","kallikrein related peptidase 4"
"1471","KLK6","kallikrein related peptidase 6"
"1472","KLK7","kallikrein related peptidase 7"
"1473","KLK8","kallikrein related peptidase 8"
"1474","KLRB1","killer cell lectin like receptor B1"
"1475","KLRC3","killer cell lectin like receptor C3"
"1476","KLRD1","killer cell lectin like receptor D1"
"1477","KLRF1","killer cell lectin like receptor F1"
"1478","KLRF2","killer cell lectin like receptor F2"
"1479","KLRG1","killer cell lectin like receptor G1"
"1480","KMT2B","lysine methyltransferase 2B"
"1481","KMT2D","lysine methyltransferase 2D"
"1482","KPNA1","karyopherin subunit alpha 1"
"1483","KPRP","keratinocyte proline rich protein"
"1484","KRT16P2","keratin 16 pseudogene 2"
"1485","KRT24","keratin 24"
"1486","KRT32","keratin 32"
"1487","KRT4","keratin 4"
"1488","KRT40","keratin 40"
"1489","KRT6B","keratin 6B"
"1490","KRT80","keratin 80"
"1491","KRT8P41","keratin 8 pseudogene 41"
"1492","KRTAP10-10","keratin associated protein 10-10"
"1493","KRTAP10-5","keratin associated protein 10-5"
"1494","KRTAP10-9","keratin associated protein 10-9"
"1495","KRTAP12-3","keratin associated protein 12-3"
"1496","KRTAP15-1","keratin associated protein 15-1"
"1497","KRTAP19-4","keratin associated protein 19-4"
"1498","KRTAP19-7","keratin associated protein 19-7"
"1499","KRTAP2-3","keratin associated protein 2-3"
"1500","KRTAP20-3","keratin associated protein 20-3"
"1501","KRTAP21-2","keratin associated protein 21-2"
"1502","KRTAP22-2","keratin associated protein 22-2"
"1503","KRTAP4-1","keratin associated protein 4-1"
"1504","KRTAP4-9","keratin associated protein 4-9"
"1505","KRTAP5-11","keratin associated protein 5-11"
"1506","KRTAP5-3","keratin associated protein 5-3"
"1507","KRTAP5-5","keratin associated protein 5-5"
"1508","KRTAP5-9","keratin associated protein 5-9"
"1509","KRTCAP3","keratinocyte associated protein 3"
"1510","KRTDAP","keratinocyte differentiation associated protein"
"1511","KYNU","kynureninase"
"1512","L3MBTL1","L3MBTL histone methyl-lysine binding protein 1"
"1513","L3MBTL3","L3MBTL histone methyl-lysine binding protein 3"
"1514","L3MBTL4","L3MBTL histone methyl-lysine binding protein 4"
"1515","LACTB","lactamase beta"
"1516","LALBA","lactalbumin alpha"
"1517","LAMA1","laminin subunit alpha 1"
"1518","LAMA3","laminin subunit alpha 3"
"1519","LAMA5","laminin subunit alpha 5"
"1520","LAMB4","laminin subunit beta 4"
"1521","LANCL3","LanC like 3"
"1522","LAP3","leucine aminopeptidase 3"
"1523","LAPTM5","lysosomal protein transmembrane 5"
"1524","LARP1B","La ribonucleoprotein 1B"
"1525","LATS2","large tumor suppressor kinase 2"
"1526","LAYN","layilin"
"1527","LCA5L","lebercilin LCA5 like"
"1528","LCAT","lecithin-cholesterol acyltransferase"
"1529","LCE1B","late cornified envelope 1B"
"1530","LCE2A","late cornified envelope 2A"
"1531","LCE2B","late cornified envelope 2B"
"1532","LCE2C","late cornified envelope 2C"
"1533","LCE6A","late cornified envelope 6A"
"1534","LCK","LCK proto-oncogene, Src family tyrosine kinase"
"1535","LCNL1","lipocalin like 1"
"1536","LCP1","lymphocyte cytosolic protein 1"
"1537","LCTL","lactase like"
"1538","LDB2","LIM domain binding 2"
"1539","LDHC","lactate dehydrogenase C"
"1540","LDLRAD2","low density lipoprotein receptor class A domain containing 2"
"1541","LDLRAD3","low density lipoprotein receptor class A domain containing 3"
"1542","LDLRAD4","low density lipoprotein receptor class A domain containing 4"
"1543","LELP1","late cornified envelope like proline rich 1"
"1544","LEP","leptin"
"1545","LGALS16","galectin 16"
"1546","LGALS7","galectin 7"
"1547","LGALS7B","galectin 7B"
"1548","LGI1","leucine rich glioma inactivated 1"
"1549","LGI3","leucine rich repeat LGI family member 3"
"1550","LGSN","lengsin, lens protein with glutamine synthetase domain"
"1551","LHFPL3","LHFPL tetraspan subfamily member 3"
"1552","LHFPL3-AS2","LHFPL3 antisense RNA 2"
"1553","LHFPL4","LHFPL tetraspan subfamily member 4"
"1554","LHX4","LIM homeobox 4"
"1555","LIF","LIF interleukin 6 family cytokine"
"1556","LIG3","DNA ligase 3"
"1557","LILRB4","leukocyte immunoglobulin like receptor B4"
"1558","LIMD1","LIM domains containing 1"
"1559","LIMS1","LIM zinc finger domain containing 1"
"1560","LINC00159","long intergenic non-protein coding RNA 159"
"1561","LINC00160","long intergenic non-protein coding RNA 160"
"1562","LINC00189","long intergenic non-protein coding RNA 189"
"1563","LINC00200","long intergenic non-protein coding RNA 200"
"1564","LINC00202-1",NA
"1565","LINC00207","long intergenic non-protein coding RNA 207"
"1566","LINC00208","long intergenic non-protein coding RNA 208"
"1567","LINC00226","long intergenic non-protein coding RNA 226"
"1568","LINC00229","long intergenic non-protein coding RNA 229"
"1569","LINC00242","long intergenic non-protein coding RNA 242"
"1570","LINC00260","long intergenic non-protein coding RNA 260"
"1571","LINC00272","long intergenic non-protein coding RNA 272"
"1572","LINC00277",NA
"1573","LINC00282",NA
"1574","LINC00294","long intergenic non-protein coding RNA 294"
"1575","LINC00297","long intergenic non-protein coding RNA 297"
"1576","LINC00301","long intergenic non-protein coding RNA 301"
"1577","LINC00308","long intergenic non-protein coding RNA 308"
"1578","LINC00309","long intergenic non-protein coding RNA 309"
"1579","LINC00311","long intergenic non-protein coding RNA 311"
"1580","LINC00317","long intergenic non-protein coding RNA 317"
"1581","LINC00327","long intergenic non-protein coding RNA 327"
"1582","LINC00330","long intergenic non-protein coding RNA 330"
