"","SYMBOL","GENENAME"
"1124","FAM83H","family with sequence similarity 83 member H"
"1125","FAM86B3P","family with sequence similarity 86, member A pseudogene"
"1126","FAM90A27P","family with sequence similarity 90 member A27, pseudogene"
"1127","FAM90A2P","family with sequence similarity 90 member A2, pseudogene"
"1128","FAM92A1P2","family with sequence similarity 92, member A3"
"1129","FAM95A","family with sequence similarity 95 member A"
"1130","FAM99A","family with sequence similarity 99 member A"
"1131","FAM9C","family with sequence similarity 9 member C"
"1132","FANCA","FA complementation group A"
"1133","FASN","fatty acid synthase"
"1134","FASTKD2","FAST kinase domains 2"
"1135","FAT2","FAT atypical cadherin 2"
"1136","FAT3","FAT atypical cadherin 3"
"1137","FAXDC2","fatty acid hydroxylase domain containing 2"
"1138","FBLN1","fibulin 1"
"1139","FBLN7","fibulin 7"
"1140","FBP1","fructose-bisphosphatase 1"
"1141","FBRSL1","fibrosin like 1"
"1142","FBXL14","F-box and leucine rich repeat protein 14"
"1143","FBXL16","F-box and leucine rich repeat protein 16"
"1144","FBXL21",NA
"1145","FBXL4","F-box and leucine rich repeat protein 4"
"1146","FBXO16","F-box protein 16"
"1147","FBXO25","F-box protein 25"
"1148","FBXO41","F-box protein 41"
"1149","FBXO6","F-box protein 6"
"1150","FBXO7","F-box protein 7"
"1151","FBXW10","F-box and WD repeat domain containing 10"
"1152","FCAMR","Fc fragment of IgA and IgM receptor"
"1153","FCER1A","Fc fragment of IgE receptor Ia"
"1154","FCGBP","Fc fragment of IgG binding protein"
"1155","FCGR1A","Fc fragment of IgG receptor Ia"
"1156","FCGR1B","Fc fragment of IgG receptor Ib"
"1157","FCGR2A","Fc fragment of IgG receptor IIa"
"1158","FCGR2B","Fc fragment of IgG receptor IIb"
"1159","FCGR2C","Fc fragment of IgG receptor IIc (gene/pseudogene)"
"1160","FCGR3B","Fc fragment of IgG receptor IIIb"
"1161","FCRL2","Fc receptor like 2"
"1162","FCRL5","Fc receptor like 5"
"1163","FDCSP","follicular dendritic cell secreted protein"
"1164","FDX1","ferredoxin 1"
"1165","FENDRR","FOXF1 adjacent non-coding developmental regulatory RNA"
"1166","FER","FER tyrosine kinase"
"1167","FFAR3","free fatty acid receptor 3"
"1168","FGA","fibrinogen alpha chain"
"1169","FGB","fibrinogen beta chain"
"1170","FGF10","fibroblast growth factor 10"
"1171","FGF14","fibroblast growth factor 14"
"1172","FGF14-AS2","FGF14 antisense RNA 2"
"1173","FGF16","fibroblast growth factor 16"
"1174","FGF21","fibroblast growth factor 21"
"1175","FGF3","fibroblast growth factor 3"
"1176","FGF7","fibroblast growth factor 7"
"1177","FGF8","fibroblast growth factor 8"
"1178","FGFBP2","fibroblast growth factor binding protein 2"
"1179","FGFR2","fibroblast growth factor receptor 2"
"1180","FGFR3","fibroblast growth factor receptor 3"
"1181","FGG","fibrinogen gamma chain"
"1182","FHDC1","FH2 domain containing 1"
"1183","FHOD3","formin homology 2 domain containing 3"
"1184","FIGLA","folliculogenesis specific bHLH transcription factor"
"1185","FIGNL2","fidgetin like 2"
"1186","FILIP1","filamin A interacting protein 1"
"1187","FKBP4","FKBP prolyl isomerase 4"
"1188","FKSG29","FKSG29"
"1189","FLG2","filaggrin family member 2"
"1190","FLI1-AS1",NA
"1191","FLJ14107",NA
"1192","FLJ22184",NA
"1193","FLJ22763",NA
"1194","FLJ31813",NA
"1195","FLJ33581",NA
"1196","FLJ35282",NA
"1197","FLJ36000","uncharacterized FLJ36000"
"1198","FLJ37201","tigger transposable element derived 2 pseudogene"
"1199","FLJ37453","uncharacterized LOC729614"
"1200","FLJ40288","uncharacterized FLJ40288"
"1201","FLJ41278",NA
"1202","FLJ41350",NA
"1203","FLJ42102","uncharacterized LOC399923"
"1204","FLJ42627","uncharacterized LOC645644"
"1205","FLJ43879",NA
"1206","FLJ46066",NA
"1207","FLJ46284","uncharacterized LOC441369"
"1208","FLT1","fms related tyrosine kinase 1"
"1209","FLT3","fms related tyrosine kinase 3"
"1210","FMNL1","formin like 1"
"1211","FMNL3","formin like 3"
"1212","FMO1","flavin containing dimethylaniline monoxygenase 1"
"1213","FMO2","flavin containing dimethylaniline monoxygenase 2"
"1214","FMO4","flavin containing dimethylaniline monoxygenase 4"
"1215","FMO6P","flavin containing dimethylaniline monoxygenase 6, pseudogene"
"1216","FMO9P","flavin containing dimethylaniline monoxygenase 9, pseudogene"
"1217","FNBP4","formin binding protein 4"
"1218","FOLR3","folate receptor gamma"
"1219","FOLR4",NA
"1220","FOXD3","forkhead box D3"
"1221","FOXE3","forkhead box E3"
"1222","FOXF2","forkhead box F2"
"1223","FOXG1","forkhead box G1"
"1224","FOXI3","forkhead box I3"
"1225","FOXK1","forkhead box K1"
"1226","FOXK2","forkhead box K2"
"1227","FOXN3-AS2","FOXN3 antisense RNA 2"
"1228","FOXN4","forkhead box N4"
"1229","FOXO1","forkhead box O1"
"1230","FOXR1","forkhead box R1"
"1231","FRG2B","FSHD region gene 2 family member B"
"1232","FRMD4A","FERM domain containing 4A"
"1233","FRMPD2P1",NA
"1234","FRRS1","ferric chelate reductase 1"
"1235","FSCB","fibrous sheath CABYR binding protein"
"1236","FSD2","fibronectin type III and SPRY domain containing 2"
"1237","FSHR","follicle stimulating hormone receptor"
"1238","FST","follistatin"
"1239","FSTL1","follistatin like 1"
"1240","FTCD","formimidoyltransferase cyclodeaminase"
"1241","FTMT","ferritin mitochondrial"
"1242","FUNDC2P2","FUN14 domain containing 2 pseudogene 2"
"1243","FUOM","fucose mutarotase"
"1244","FUT4","fucosyltransferase 4"
"1245","FUT6","fucosyltransferase 6"
"1246","FUT8","fucosyltransferase 8"
"1247","FXYD4","FXYD domain containing ion transport regulator 4"
"1248","FXYD6-FXYD2","FXYD6-FXYD2 readthrough"
"1249","FXYD7","FXYD domain containing ion transport regulator 7"
"1250","FZD9","frizzled class receptor 9"
"1251","FZR1","fizzy and cell division cycle 20 related 1"
"1252","GAB4","GRB2 associated binding protein family member 4"
"1253","GABARAPL3","GABA type A receptor associated protein like 3 pseudogene"
"1254","GABBR2","gamma-aminobutyric acid type B receptor subunit 2"
"1255","GABRA1","gamma-aminobutyric acid type A receptor alpha1 subunit"
"1256","GABRD","gamma-aminobutyric acid type A receptor delta subunit"
"1257","GABRG3","gamma-aminobutyric acid type A receptor gamma3 subunit"
"1258","GAD2","glutamate decarboxylase 2"
"1259","GADL1","glutamate decarboxylase like 1"
"1260","GAL","galanin and GMAP prepropeptide"
"1261","GALC","galactosylceramidase"
"1262","GALNT1","polypeptide N-acetylgalactosaminyltransferase 1"
"1263","GALNT12","polypeptide N-acetylgalactosaminyltransferase 12"
"1264","GALNT14","polypeptide N-acetylgalactosaminyltransferase 14"
"1265","GALNT9","polypeptide N-acetylgalactosaminyltransferase 9"
"1266","GALNTL5","polypeptide N-acetylgalactosaminyltransferase like 5"
"1267","GALR1","galanin receptor 1"
"1268","GALR2","galanin receptor 2"
"1269","GAMT","guanidinoacetate N-methyltransferase"
"1270","GAPT","GRB2 binding adaptor protein, transmembrane"
"1271","GAR1","GAR1 ribonucleoprotein"
"1272","GAREML",NA
"1273","GAS2","growth arrest specific 2"
"1274","GAS5-AS1","GAS5 antisense RNA 1"
"1275","GAS6","growth arrest specific 6"
"1276","GAS7","growth arrest specific 7"
"1277","GATA1","GATA binding protein 1"
"1278","GATA2","GATA binding protein 2"
"1279","GATA4","GATA binding protein 4"
"1280","GATA5","GATA binding protein 5"
"1281","GATM","glycine amidinotransferase"
"1282","GATM-AS1",NA
"1283","GATSL1",NA
"1284","GATSL2",NA
"1285","GBA3","glucosylceramidase beta 3 (gene/pseudogene)"
"1286","GBP1P1","guanylate binding protein 1 pseudogene 1"
"1287","GBP2","guanylate binding protein 2"
"1288","GBP5","guanylate binding protein 5"
"1289","GBP7","guanylate binding protein 7"
"1290","GBX1","gastrulation brain homeobox 1"
"1291","GBX2","gastrulation brain homeobox 2"
"1292","GCG","glucagon"
"1293","GCGR","glucagon receptor"
"1294","GCSHP3","glycine cleavage system protein H pseudogene 3"
"1295","GDF10","growth differentiation factor 10"
"1296","GDF5","growth differentiation factor 5"
"1297","GDF6","growth differentiation factor 6"
"1298","GDF7","growth differentiation factor 7"
"1299","GDPD4","glycerophosphodiester phosphodiesterase domain containing 4"
"1300","GEMIN6","gem nuclear organelle associated protein 6"
"1301","GFRA3","GDNF family receptor alpha 3"
"1302","GFRA4","GDNF family receptor alpha 4"
"1303","GFRAL","GDNF family receptor alpha like"
"1304","GIMAP4","GTPase, IMAP family member 4"
"1305","GIMAP7","GTPase, IMAP family member 7"
"1306","GIMD1","GIMAP family P-loop NTPase domain containing 1"
"1307","GINS2","GINS complex subunit 2"
"1308","GIPC2","GIPC PDZ domain containing family member 2"
"1309","GIPC3","GIPC PDZ domain containing family member 3"
"1310","GIT2","GIT ArfGAP 2"
"1311","GJB2","gap junction protein beta 2"
"1312","GJD2","gap junction protein delta 2"
"1313","GK5","glycerol kinase 5"
"1314","GLB1L3","galactosidase beta 1 like 3"
"1315","GLI4","GLI family zinc finger 4"
"1316","GLRB","glycine receptor beta"
"1317","GLT6D1","glycosyltransferase 6 domain containing 1"
"1318","GLTPD2","glycolipid transfer protein domain containing 2"
"1319","GLUD1P7",NA
"1320","GLYATL1","glycine-N-acyltransferase like 1"
"1321","GLYATL2","glycine-N-acyltransferase like 2"
"1322","GLYATL3","glycine-N-acyltransferase like 3"
"1323","GLYCAM1","glycosylation dependent cell adhesion molecule 1 (pseudogene)"
"1324","GLYCTK","glycerate kinase"
"1325","GM140",NA
"1326","GMEB2","glucocorticoid modulatory element binding protein 2"
"1327","GMNC","geminin coiled-coil domain containing"
"1328","GNAQ","G protein subunit alpha q"
"1329","GNAT3","G protein subunit alpha transducin 3"
"1330","GNAZ","G protein subunit alpha z"
"1331","GNB1","G protein subunit beta 1"
"1332","GNB3","G protein subunit beta 3"
"1333","GNG2","G protein subunit gamma 2"
"1334","GNGT1","G protein subunit gamma transducin 1"
"1335","GNL2","G protein nucleolar 2"
"1336","GNRHR","gonadotropin releasing hormone receptor"
"1337","GOLGA2P2Y","GOLGA2 pseudogene 2 Y-linked"
"1338","GOLGA6A","golgin A6 family member A"
"1339","GOLGA6B","golgin A6 family member B"
"1340","GOLGA6C","golgin A6 family member C"
"1341","GOLGA6D","golgin A6 family member D"
"1342","GOLGA6L7P",NA
"1343","GOLGA8A","golgin A8 family member A"
"1344","GOLGA8B","golgin A8 family member B"
"1345","GOT1L1","glutamic-oxaloacetic transaminase 1 like 1"
"1346","GP5","glycoprotein V platelet"
"1347","GPAT2","glycerol-3-phosphate acyltransferase 2, mitochondrial"
"1348","GPC1","glypican 1"
"1349","GPC2","glypican 2"
"1350","GPC5-AS1","GPC5 antisense RNA 1"
"1351","GPHB5","glycoprotein hormone subunit beta 5"
"1352","GPIHBP1","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1"
"1353","GPNMB","glycoprotein nmb"
"1354","GPR12","G protein-coupled receptor 12"
"1355","GPR128",NA
"1356","GPR135","G protein-coupled receptor 135"
"1357","GPR141","G protein-coupled receptor 141"
"1358","GPR143","G protein-coupled receptor 143"
"1359","GPR148","G protein-coupled receptor 148"
"1360","GPR150","G protein-coupled receptor 150"
"1361","GPR153","G protein-coupled receptor 153"
"1362","GPR158-AS1","GPR158 antisense RNA 1"
"1363","GPR171","G protein-coupled receptor 171"
"1364","GPR174","G protein-coupled receptor 174"
"1365","GPR179","G protein-coupled receptor 179"
"1366","GPR183","G protein-coupled receptor 183"
"1367","GPR21","G protein-coupled receptor 21"
"1368","GPR22","G protein-coupled receptor 22"
"1369","GPR26","G protein-coupled receptor 26"
"1370","GPR27","G protein-coupled receptor 27"
"1371","GPR34","G protein-coupled receptor 34"
"1372","GPR50","G protein-coupled receptor 50"
"1373","GPR64",NA
"1374","GPR78","G protein-coupled receptor 78"
"1375","GPR82","G protein-coupled receptor 82"
"1376","GPR84","G protein-coupled receptor 84"
"1377","GPR87","G protein-coupled receptor 87"
"1378","GPR89C",NA
"1379","GPRC6A","G protein-coupled receptor class C group 6 member A"
"1380","GPRIN3","GPRIN family member 3"
"1381","GPSM1","G protein signaling modulator 1"
"1382","GPX3","glutathione peroxidase 3"
"1383","GPX4","glutathione peroxidase 4"
"1384","GPX7","glutathione peroxidase 7"
"1385","GRAMD1B","GRAM domain containing 1B"
"1386","GRAP","GRB2 related adaptor protein"
"1387","GRAP2","GRB2 related adaptor protein 2"
"1388","GRAPL","GRB2 related adaptor protein like"
"1389","GREB1","growth regulating estrogen receptor binding 1"
"1390","GREB1L","GREB1 like retinoic acid receptor coactivator"
"1391","GREM1","gremlin 1, DAN family BMP antagonist"
"1392","GRHL1","grainyhead like transcription factor 1"
"1393","GRIA1","glutamate ionotropic receptor AMPA type subunit 1"
"1394","GRIA2","glutamate ionotropic receptor AMPA type subunit 2"
"1395","GRID1","glutamate ionotropic receptor delta type subunit 1"
"1396","GRID1-AS1","GRID1 antisense RNA 1"
"1397","GRIK3","glutamate ionotropic receptor kainate type subunit 3"
"1398","GRIK4","glutamate ionotropic receptor kainate type subunit 4"
"1399","GRIN1","glutamate ionotropic receptor NMDA type subunit 1"
"1400","GRIN2A","glutamate ionotropic receptor NMDA type subunit 2A"
"1401","GRIN3B","glutamate ionotropic receptor NMDA type subunit 3B"
"1402","GRIP1","glutamate receptor interacting protein 1"
"1403","GRK5","G protein-coupled receptor kinase 5"
"1404","GRM6","glutamate metabotropic receptor 6"
"1405","GRPR","gastrin releasing peptide receptor"
"1406","GRXCR1","glutaredoxin and cysteine rich domain containing 1"
"1407","GRXCR2","glutaredoxin and cysteine rich domain containing 2"
"1408","GSC","goosecoid homeobox"
"1409","GSC2","goosecoid homeobox 2"
"1410","GSDMC","gasdermin C"
"1411","GSDMD","gasdermin D"
"1412","GSTA3","glutathione S-transferase alpha 3"
"1413","GSTCD","glutathione S-transferase C-terminal domain containing"
"1414","GSTM2P1","glutathione S-transferase mu 2 pseudogene 1"
"1415","GSTT1","glutathione S-transferase theta 1"
"1416","GSTT2","glutathione S-transferase theta 2 (gene/pseudogene)"
"1417","GSTTP1",NA
"1418","GSX1","GS homeobox 1"
"1419","GTF2H2","general transcription factor IIH subunit 2"
"1420","GTF2IRD2","GTF2I repeat domain containing 2"
"1421","GTF2IRD2B","GTF2I repeat domain containing 2B"
"1422","GTPBP1","GTP binding protein 1"
"1423","GTPBP6","GTP binding protein 6 (putative)"
"1424","GTSF1L","gametocyte specific factor 1 like"
"1425","GUCA1C","guanylate cyclase activator 1C"
"1426","GUCY1A3",NA
"1427","GUCY2F","guanylate cyclase 2F, retinal"
"1428","GXYLT1","glucoside xylosyltransferase 1"
"1429","GYG2P1","glycogenin 2 pseudogene 1"
"1430","GYPA","glycophorin A (MNS blood group)"
"1431","GYPE","glycophorin E (MNS blood group)"
"1432","GYS2","glycogen synthase 2"
"1433","GZMA","granzyme A"
"1434","GZMK","granzyme K"
"1435","H2AFB3",NA
"1436","H2BFXP",NA
"1437","HAO1","hydroxyacid oxidase 1"
"1438","HAO2","hydroxyacid oxidase 2"
"1439","HAPLN3","hyaluronan and proteoglycan link protein 3"
"1440","HAS2","hyaluronan synthase 2"
"1441","HAUS7","HAUS augmin like complex subunit 7"
"1442","HAVCR2","hepatitis A virus cellular receptor 2"
"1443","HBA1","hemoglobin subunit alpha 1"
"1444","HBA2","hemoglobin subunit alpha 2"
"1445","HBB","hemoglobin subunit beta"
"1446","HBG1","hemoglobin subunit gamma 1"
"1447","HBQ1","hemoglobin subunit theta 1"
"1448","HBS1L","HBS1 like translational GTPase"
"1449","HCAR3","hydroxycarboxylic acid receptor 3"
"1450","HCK","HCK proto-oncogene, Src family tyrosine kinase"
"1451","HCLS1","hematopoietic cell-specific Lyn substrate 1"
"1452","HCN1","hyperpolarization activated cyclic nucleotide gated potassium channel 1"
"1453","HCN4","hyperpolarization activated cyclic nucleotide gated potassium channel 4"
"1454","HDAC4","histone deacetylase 4"
"1455","HDGFRP2",NA
"1456","HDHD3","haloacid dehalogenase like hydrolase domain containing 3"
"1457","HEATR4","HEAT repeat containing 4"
"1458","HECA","hdc homolog, cell cycle regulator"
"1459","HECTD4","HECT domain E3 ubiquitin protein ligase 4"
"1460","HECW2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"1461","HELZ","helicase with zinc finger"
"1462","HEMGN","hemogen"
"1463","HENMT1","HEN methyltransferase 1"
"1464","HEPACAM2","HEPACAM family member 2"
"1465","HEPH","hephaestin"
"1466","HEPN1","hepatocellular carcinoma, down-regulated 1"
"1467","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2"
"1468","HERC2P10","hect domain and RLD 2 pseudogene 10"
"1469","HES3","hes family bHLH transcription factor 3"
"1470","HES5","hes family bHLH transcription factor 5"
"1471","HGC6.3","uncharacterized LOC100128124"
"1472","HGD","homogentisate 1,2-dioxygenase"
"1473","HHIP","hedgehog interacting protein"
"1474","HHLA1","HERV-H LTR-associating 1"
"1475","HIC1","HIC ZBTB transcriptional repressor 1"
"1476","HIC2","HIC ZBTB transcriptional repressor 2"
"1477","HIF3A","hypoxia inducible factor 3 subunit alpha"
"1478","HIGD1C","HIG1 hypoxia inducible domain family member 1C"
"1479","HIP1R","huntingtin interacting protein 1 related"
"1480","HIPK2","homeodomain interacting protein kinase 2"
"1481","HIST1H2AA",NA
"1482","HIST1H2BM",NA
"1483","HIST2H2AA4",NA
"1484","HIST2H3C",NA
"1485","HIST2H4A",NA
"1486","HIST3H3",NA
"1487","HIVEP3","HIVEP zinc finger 3"
"1488","HK2","hexokinase 2"
"1489","HK3","hexokinase 3"
"1490","HLA-A","major histocompatibility complex, class I, A"
"1491","HLA-DMA","major histocompatibility complex, class II, DM alpha"
"1492","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1"
"1493","HLA-DQA2","major histocompatibility complex, class II, DQ alpha 2"
"1494","HLA-DRA","major histocompatibility complex, class II, DR alpha"
"1495","HMGXB4","HMG-box containing 4"
"1496","HMSD","histocompatibility minor serpin domain containing"
"1497","HMX1","H6 family homeobox 1"
"1498","HMX3","H6 family homeobox 3"
"1499","HNF1A-AS1","HNF1A antisense RNA 1"
"1500","HNF4G","hepatocyte nuclear factor 4 gamma"
"1501","HNRNPU-AS1",NA
"1502","HNRNPUL1","heterogeneous nuclear ribonucleoprotein U like 1"
"1503","HOMER3","homer scaffold protein 3"
"1504","HOPX","HOP homeobox"
"1505","HORMAD2","HORMA domain containing 2"
"1506","HOXB13","homeobox B13"
"1507","HOXB6","homeobox B6"
"1508","HOXB7","homeobox B7"
"1509","HOXB8","homeobox B8"
"1510","HOXD1","homeobox D1"
"1511","HOXD11","homeobox D11"
"1512","HOXD12","homeobox D12"
"1513","HOXD13","homeobox D13"
"1514","HOXD3","homeobox D3"
"1515","HOXD8","homeobox D8"
"1516","HOXD9","homeobox D9"
"1517","HP","haptoglobin"
"1518","HPGDS","hematopoietic prostaglandin D synthase"
"1519","HPR","haptoglobin-related protein"
"1520","HPVC1",NA
"1521","HPX","hemopexin"
"1522","HPYR1","Helicobacter pylori responsive 1"
"1523","HRAS","HRas proto-oncogene, GTPase"
"1524","HRASLS5",NA
"1525","HRH2","histamine receptor H2"
"1526","HRH3","histamine receptor H3"
"1527","HRH4","histamine receptor H4"
"1528","HS3ST2","heparan sulfate-glucosamine 3-sulfotransferase 2"
"1529","HS3ST5","heparan sulfate-glucosamine 3-sulfotransferase 5"
"1530","HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6"
"1531","HS6ST1","heparan sulfate 6-O-sulfotransferase 1"
"1532","HS6ST2","heparan sulfate 6-O-sulfotransferase 2"
"1533","HS6ST2-AS1","HS6ST2 antisense RNA 1"
"1534","HSD11B1","hydroxysteroid 11-beta dehydrogenase 1"
"1535","HSD17B1","hydroxysteroid 17-beta dehydrogenase 1"
"1536","HSD17B12","hydroxysteroid 17-beta dehydrogenase 12"
"1537","HSD17B13","hydroxysteroid 17-beta dehydrogenase 13"
"1538","HSD17B7","hydroxysteroid 17-beta dehydrogenase 7"
"1539","HSDL1","hydroxysteroid dehydrogenase like 1"
"1540","HSF1","heat shock transcription factor 1"
"1541","HSF4","heat shock transcription factor 4"
"1542","HSF5","heat shock transcription factor 5"
"1543","HSFX2","heat shock transcription factor family, X-linked 2"
"1544","HSFY2","heat shock transcription factor Y-linked 2"
"1545","HSP90AB4P","heat shock protein 90 alpha family class B member 4, pseudogene"
"1546","HSPA12A","heat shock protein family A (Hsp70) member 12A"
"1547","HSPA12B","heat shock protein family A (Hsp70) member 12B"
"1548","HTN1","histatin 1"
"1549","HTN3","histatin 3"
"1550","HTR1F","5-hydroxytryptamine receptor 1F"
"1551","HTR2B","5-hydroxytryptamine receptor 2B"
"1552","HTR3D","5-hydroxytryptamine receptor 3D"
"1553","HTR3E","5-hydroxytryptamine receptor 3E"
"1554","HTR4","5-hydroxytryptamine receptor 4"
"1555","HTRA1","HtrA serine peptidase 1"
"1556","HTRA3","HtrA serine peptidase 3"
"1557","HULC","hepatocellular carcinoma up-regulated long non-coding RNA"
"1558","HUNK","hormonally up-regulated Neu-associated kinase"
"1559","HUS1B","HUS1 checkpoint clamp component B"
"1560","HYLS1","HYLS1 centriolar and ciliogenesis associated"
"1561","IAPP","islet amyloid polypeptide"
"1562","IBSP","integrin binding sialoprotein"
"1563","IDI2","isopentenyl-diphosphate delta isomerase 2"
"1564","IER5L","immediate early response 5 like"
"1565","IFFO1","intermediate filament family orphan 1"
"1566","IFFO2","intermediate filament family orphan 2"
"1567","IFIT1B","interferon induced protein with tetratricopeptide repeats 1B"
"1568","IFIT3","interferon induced protein with tetratricopeptide repeats 3"
"1569","IFNA1","interferon alpha 1"
"1570","IFNB1","interferon beta 1"
"1571","IFNL2","interferon lambda 2"
"1572","IFNW1","interferon omega 1"
"1573","IFRD1","interferon related developmental regulator 1"
"1574","IGDCC3","immunoglobulin superfamily DCC subclass member 3"
"1575","IGDCC4","immunoglobulin superfamily DCC subclass member 4"
"1576","IGF1","insulin like growth factor 1"
"1577","IGF2-AS","IGF2 antisense RNA"
"1578","IGFALS","insulin like growth factor binding protein acid labile subunit"
"1579","IGFBP2","insulin like growth factor binding protein 2"
"1580","IGFBPL1","insulin like growth factor binding protein like 1"
"1581","IGIP","IgA inducing protein"
"1582","IGSF10","immunoglobulin superfamily member 10"
"1583","IKZF1","IKAROS family zinc finger 1"
"1584","IKZF3","IKAROS family zinc finger 3"
"1585","IL12B","interleukin 12B"
"1586","IL13RA2","interleukin 13 receptor subunit alpha 2"
"1587","IL18R1","interleukin 18 receptor 1"
"1588","IL18RAP","interleukin 18 receptor accessory protein"
"1589","IL19","interleukin 19"
"1590","IL1RL1","interleukin 1 receptor like 1"
"1591","IL1RL2","interleukin 1 receptor like 2"
"1592","IL1RN","interleukin 1 receptor antagonist"
"1593","IL20","interleukin 20"
"1594","IL21","interleukin 21"
"1595","IL22RA2","interleukin 22 receptor subunit alpha 2"
"1596","IL26","interleukin 26"
"1597","IL33","interleukin 33"
"1598","IL36A","interleukin 36 alpha"
"1599","IL3RA","interleukin 3 receptor subunit alpha"
"1600","IL5","interleukin 5"
"1601","IL7R","interleukin 7 receptor"
"1602","IL8",NA
"1603","IL9","interleukin 9"
"1604","IL9R","interleukin 9 receptor"
"1605","ILDR2","immunoglobulin like domain containing receptor 2"
"1606","IMPG2","interphotoreceptor matrix proteoglycan 2"
"1607","INA","internexin neuronal intermediate filament protein alpha"
"1608","ING5","inhibitor of growth family member 5"
"1609","INHBA","inhibin subunit beta A"
"1610","INHBA-AS1","INHBA antisense RNA 1"
"1611","INHBB","inhibin subunit beta B"
"1612","INHBE","inhibin subunit beta E"
"1613","INPPL1","inositol polyphosphate phosphatase like 1"
"1614","INSL5","insulin like 5"
"1615","INSM1","INSM transcriptional repressor 1"
"1616","INSR","insulin receptor"
"1617","INTS1","integrator complex subunit 1"
"1618","INTS4","integrator complex subunit 4"
"1619","INTS4L2",NA
"1620","INTU","inturned planar cell polarity protein"
"1621","IPO11","importin 11"
"1622","IQCE","IQ motif containing E"
"1623","IQCF2","IQ motif containing F2"
"1624","IQCF6","IQ motif containing F6"
"1625","IQCJ-SCHIP1","IQCJ-SCHIP1 readthrough"
"1626","IQGAP1","IQ motif containing GTPase activating protein 1"
"1627","IQSEC1","IQ motif and Sec7 domain ArfGEF 1"
"1628","IQSEC3","IQ motif and Sec7 domain ArfGEF 3"
"1629","IRAK3","interleukin 1 receptor associated kinase 3"
"1630","IRF2BP2","interferon regulatory factor 2 binding protein 2"
"1631","IRF8","interferon regulatory factor 8"
"1632","IRS2","insulin receptor substrate 2"
"1633","IRS4","insulin receptor substrate 4"
"1634","IRX1","iroquois homeobox 1"
"1635","IRX2","iroquois homeobox 2"
"1636","IRX6","iroquois homeobox 6"
"1637","ISM1-AS1","ISM1 antisense RNA 1"
"1638","ISM2","isthmin 2"
"1639","ITGA4","integrin subunit alpha 4"
"1640","ITGB1BP2","integrin subunit beta 1 binding protein 2"
"1641","ITGB5","integrin subunit beta 5"
"1642","ITGB6","integrin subunit beta 6"
"1643","ITIH2","inter-alpha-trypsin inhibitor heavy chain 2"
"1644","ITIH5","inter-alpha-trypsin inhibitor heavy chain 5"
"1645","IVL","involucrin"
"1646","JAG2","jagged canonical Notch ligand 2"
"1647","JAKMIP1","janus kinase and microtubule interacting protein 1"
"1648","JHDM1D",NA
"1649","JPH4","junctophilin 4"
"1650","JRKL-AS1","JRKL antisense RNA 1"
"1651","JUND","JunD proto-oncogene, AP-1 transcription factor subunit"
"1652","KAAG1","kidney associated antigen 1"
"1653","KAL1",NA
"1654","KANK4","KN motif and ankyrin repeat domains 4"
"1655","KAT6A","lysine acetyltransferase 6A"
"1656","KBTBD11","kelch repeat and BTB domain containing 11"
"1657","KBTBD12","kelch repeat and BTB domain containing 12"
"1658","KBTBD2","kelch repeat and BTB domain containing 2"
"1659","KCMF1","potassium channel modulatory factor 1"
"1660","KCNA1","potassium voltage-gated channel subfamily A member 1"
"1661","KCNA10","potassium voltage-gated channel subfamily A member 10"
"1662","KCNA3","potassium voltage-gated channel subfamily A member 3"
"1663","KCNA4","potassium voltage-gated channel subfamily A member 4"
"1664","KCNA7","potassium voltage-gated channel subfamily A member 7"
"1665","KCNAB1-AS1","KCNAB1 antisense RNA 1"
"1666","KCNAB1-AS2","KCNAB1 antisense RNA 2"
"1667","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"1668","KCNAB3","potassium voltage-gated channel subfamily A regulatory beta subunit 3"
"1669","KCNB2","potassium voltage-gated channel subfamily B member 2"
"1670","KCNC1","potassium voltage-gated channel subfamily C member 1"
"1671","KCND3","potassium voltage-gated channel subfamily D member 3"
"1672","KCNE1L",NA
"1673","KCNG1","potassium voltage-gated channel modifier subfamily G member 1"
"1674","KCNH6","potassium voltage-gated channel subfamily H member 6"
"1675","KCNH7","potassium voltage-gated channel subfamily H member 7"
"1676","KCNIP4-IT1","KCNIP4 intronic transcript 1"
"1677","KCNJ13","potassium inwardly rectifying channel subfamily J member 13"
"1678","KCNJ16","potassium inwardly rectifying channel subfamily J member 16"
"1679","KCNJ8","potassium inwardly rectifying channel subfamily J member 8"
"1680","KCNJ9","potassium inwardly rectifying channel subfamily J member 9"
"1681","KCNK13","potassium two pore domain channel subfamily K member 13"
"1682","KCNK17","potassium two pore domain channel subfamily K member 17"
"1683","KCNK3","potassium two pore domain channel subfamily K member 3"
"1684","KCNMA1","potassium calcium-activated channel subfamily M alpha 1"
"1685","KCNMB2","potassium calcium-activated channel subfamily M regulatory beta subunit 2"
"1686","KCNN2","potassium calcium-activated channel subfamily N member 2"
"1687","KCNQ1","potassium voltage-gated channel subfamily Q member 1"
